id;park_name;park_address;longtitude;latitude;verified;date_install;date_open;date_close;note;reseller
1;Executive Wooden Handmade;Chips Mandatory Central;14587;34119;false;2021-09-29T06:48:25;2021-09-28T14:09:23;2021-09-28T14:59:44;Customer;real-time Vermont Sausages
2;Health Fantastic Pizza;Account Tuna;77314;91218;true;2021-09-28T13:37:09;2021-09-29T03:22:26;2021-09-29T08:40:46;Bedfordshire harness;extranet Nebraska Tools
3;Account Quality;hacking optimize;46723;44977;false;2021-09-28T23:40:21;2021-09-28T20:19:09;2021-09-28T13:56:11;Dakota Antillian Home;Fresh policy
4;Facilitator;Incredible HDD;11626;22773;false;2021-09-29T07:52:52;2021-09-29T12:35:28;2021-09-29T00:05:03;SMTP Cambridgeshire;Bhutan
5;Louisiana;Web Square task-force;59707;71429;false;2021-09-29T12:29:22;2021-09-28T21:02:22;2021-09-29T10:59:24;Lesotho;leading-edge installation Borders
6;Incredible Lev Outdoors;Incredible Designer;25298;29710;false;2021-09-28T21:24:26;2021-09-29T11:18:55;2021-09-29T11:52:26;Agent niches;Tasty deposit
7;Arab;alarm innovate Florida;16926;66342;true;2021-09-28T19:20:07;2021-09-29T00:45:51;2021-09-29T07:54:40;cutting-edge Illinois;GB Cloned Dynamic
8;engine;Architect efficient;48097;16141;true;2021-09-28T14:06:52;2021-09-29T05:42:45;2021-09-29T11:00:19;primary Books;Intranet IB
9;Hawaii;plum;47334;16353;false;2021-09-28T15:19:09;2021-09-28T17:33:02;2021-09-29T11:58:32;panel Handcrafted;implement Maryland
10;Lead Trafficway;optical applications payment;56876;4861;false;2021-09-28T19:29:41;2021-09-29T00:40:55;2021-09-29T12:12:06;Practical Account invoice;Idaho Senior Books
