id;comment;rating_number;rating_date;user_id
1;USB;55292;2022-02-01T23:23:56;65465
2;Chief Chicken Virginia;24394;2022-02-01T22:02:14;97283
3;Brook JSON feed;18348;2022-02-02T19:36:30;7519
4;envisioneer Harbors;79017;2022-02-02T12:54:16;28333
5;initiative Internal Jewelery;21169;2022-02-02T16:59:45;41967
6;solutions payment Cocos;40324;2022-02-01T20:55:52;34997
7;Inverse;71064;2022-02-02T15:57:25;56302
8;high-level;92265;2022-02-01T21:53:01;90657
9;optimize;65776;2022-02-02T18:47:24;84254
10;Refined Synchronised;14928;2022-02-02T10:36:20;53924
